作成テーマ,カテゴリ,問題,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説,対象級,義雄さんメモ
秋,知識,気象庁が季節としての「秋」としているのは、一般にどの3か月でしょうか？,8～10月,9～11月,10～12月,7～9月,B,気象庁では、春（3～5月）、夏（6～8月）、秋（9～11月）、冬（12～2月）と3か月ごとに区切って季節を扱います。,,
秋,知識,秋によく聞く「秋雨前線」とは、どんな前線でしょうか？,真冬の大雪を降らせる前線,春先に黄砂をもたらす前線,初秋に長雨をもたらす前線,台風の目の中にできる前線,C,秋雨前線は主に9月ごろ、本州付近に停滞して曇りや雨の日が続く原因になります。,,
秋,知識,「秋晴れ」のときの代表的な気圧配置はどれでしょう？,冬型の気圧配置（西高東低）,台風が日本海にある配置,梅雨前線が停滞する配置,移動性高気圧にすっぽり覆われる配置,D,移動性高気圧に覆われると、からっとした晴天になり「秋晴れ」と呼ばれます。,,
秋,知識,秋になると「朝晩と日中の気温差が大きくなる」主な理由はどれでしょう？,太陽の光が強くなるから,夜の時間が長くなり冷えやすくなるから,海水温が急に下がるから,地球が太陽に近づくから,B,秋は日が短くなり夜が長くなるため、地面がよく冷え、朝はひんやり、日中はまだ暖かいという差が大きくなります。,,
秋,知識,「放射冷却現象」が起こりやすい秋の夜の天気の条件として、最も適切なのは？,厚い雲に覆われた雨の夜,風が強く曇りの夜,風が弱く晴れて雲が少ない夜,台風接近中の夜,C,晴れて風が弱く、雲が少ない夜は地面の熱が宇宙に逃げやすくなり、放射冷却でぐっと冷え込みます。,,
秋,知識,秋の空で「うろこ雲」と呼ばれることが多い雲の正式名称は？,積乱雲,巻積雲,層雲,高積雲,B,細かい斑点状の雲が広がる「うろこ雲」は、正式には巻積雲といいます。,,
秋,知識,「いわし雲」「さば雲」など、細かい雲が広がる秋の空が見られるとき、よくある天気の流れは？,しばらく安定した晴天が続くサイン,台風が必ず発生するサイン,前線や低気圧が近づいて天気が崩れる前触れ,冬型の気圧配置になるサイン,C,うろこ雲・いわし雲などは、上空で湿った空気が増え、前線や低気圧が近づいているサインになることがあります。,,
秋,防災,日本の台風の発生数は夏～秋に多くなりますが、「日本に接近・上陸が最も多い時期」として近いのは？,1～2月,3～4月,8～9月ごろ,11～12月,C,台風は夏から秋にかけて発生・接近が多く、特に8～9月ごろがピークです。,,
秋,知識,秋に台風が日本付近を通過したあと、急に空気がひんやりすることがあります。この理由として正しいのは？,台風が冷たい空気を運んでくるから,台風通過後に一気に冬型の気圧配置になることがあるから,太陽が隠れるから,海水が一気に凍るから,B,台風が去ると一時的に冬型の気圧配置となり、北から冷たい空気が流れ込み、季節が一段進んだように感じることがあります。,,
秋,文化,「木枯らし1号」は、どの季節の変わり目を告げる風として気象庁が発表しているでしょう？,春から夏への変わり目,夏から秋への変わり目,秋から冬への変わり目,冬から春への変わり目,C,木枯らし1号は、冬型の気圧配置になって吹く冷たい強風で、秋から冬への季節の進みを象徴する風です（地域ごとに条件あり）。,,
秋,生活,「行楽日和」として紹介されやすいのは、どんな秋の天気でしょうか？,気温35℃以上で猛暑日,からっと晴れて、暑すぎず寒すぎない日,強風とにわか雨が続く日,一日中どんより小雨の日,B,秋の行楽日和は、移動性高気圧に覆われ、湿度が低く、気温もほどよく過ごしやすい日です。,,
秋,文化,紅葉がきれいに色づく条件として「特に大事」とされるのはどれでしょう？,一日中30℃以上の暑さ,昼夜の気温差が大きく、朝晩冷え込むこと,常に強風が吹いていること,雨がまったく降らないこと,B,昼はそれなりに暖かく、夜に冷え込むような大きな気温差があると、紅葉が鮮やかになりやすいです。,,
秋,知識,秋の朝に見られる「霧」が発生しやすいのは、どんな場所でしょうか？,風通しの良い山頂,都市の高層ビルの上,河川沿いや盆地など冷え込みやすい低地,砂漠のような乾いた場所,C,川沿いや盆地は冷たい空気がたまりやすく、放射冷却で冷えて霧が発生しやすくなります。,,
秋,知識,秋に「内陸ほど朝の冷え込みが強く、沿岸部はそれほど冷えない」主な理由は？,海水が暖まりにくく、気温変化を小さくするから,海が冷たい空気を作るから,海からの風が吹かないから,内陸に太陽が当たらないから,A,海は温まりにくく冷めにくいので、沿岸部は気温変化が緩やかになり、内陸ほど極端に冷え込みにくくなります。,,
秋,生活,天気予報で秋によく聞く「寒暖差にご注意ください」という呼びかけのとき、特に気をつけたいのは？,熱中症だけ,暴風だけ,服装調整や体調管理,地震への備え,C,朝晩と日中の気温差が大きいと体調を崩しやすいので、重ね着などで調整することが大切です。,,
秋,知識,秋の「日本海側」と「太平洋側」の天気の特徴として、より近い組み合わせは？,日本海側が晴れが多く、太平洋側が雪が多い,日本海側が長雨、太平洋側が常に快晴,秋は全体的に太平洋側で晴天が多く、日本海側は冬ほど雪はない,どちらも1か月ずっと台風,C,秋は太平洋側で晴れる日が多くなり、日本海側も冬ほど雪はなく、全体的に過ごしやすい時期です。,,
秋,生活,気象庁の「週間天気予報」で、秋の3連休の天気をチェックするとき、特に気にしておくと良いポイントは？,最高気温だけ,台風や前線の接近と、雨マークの位置,日の出時刻だけ,地震情報,B,秋は天気が変わりやすく、台風や秋雨前線の影響で雨が入り込みやすいので、雨マークや低気圧・前線の動きに注意します。,,
秋,防災,気象庁が発表する「注意報・警報」のうち、秋の大雨で特に確認しておきたい種別は？,濃霧注意報や雷注意報,大雨注意報・大雨警報,波浪注意報だけ,乾燥注意報だけ,B,秋雨前線や台風による大雨では、大雨注意報・警報が重要な防災情報になります。,,
秋,防災,秋の台風シーズンに、気象庁が発表する「進路予想円」で表しているものは？,台風の大きさそのもの,台風の雨雲の範囲,将来の台風中心の「位置の予報の誤差の範囲」,台風の風速の強さ,C,予報円は、予報時刻に台風の中心が入る可能性が高い範囲（位置の不確かさ）を示しています。,,
秋,防災,秋に多い「ゲリラ豪雨」と、真夏のそれとの大きな違いとして比較的近いのは？,秋は全く発生しない,秋は前線や台風の影響による広範囲の大雨が多くなる,秋は雪になる,秋は必ず夜だけに起きる,B,真夏は局地的な雷雨が多い一方、秋は前線や台風による広い範囲の大雨が増える傾向があります。,,
秋,防災,秋の台風情報でよく見る「暴風域」とは、どのような風の強さの範囲でしょうか？（概念的に）,風速5m/s以上,風速10m/s以上,風速15m/s以上,風速25m/s以上の強い風が吹くおそれのある範囲,D,暴風域は、風速25m/s以上の非常に強い風が吹くおそれがある範囲を示します（あくまで概念として押さえましょう）。,,
秋,防災,秋になると「乾燥注意報」が出やすくなる地域もありますが、このとき特に注意すべき災害は？,土砂災害,洪水,火事（火災）,津波,C,空気が乾燥すると火が燃え広がりやすく、火の取り扱いに注意が必要です。,,
秋,知識,「秋雨前線」のときの雨の降り方で、比較的多いパターンは？,短時間に猛烈な雨が一気に降るだけ,強弱を繰り返しながら、ぐずついた雨が長く続く,毎日夕立のように15分だけ降る,雪が混じる,B,秋雨前線が停滞すると、しとしと・時々強くなど、長くぐずつく雨になりやすいです。,,
秋,知識,秋によく「上空に寒気が入る」と言われますが、それによって起こりやすくなるのは？,竜巻や雷雨などの大気の不安定,黄砂,台風の発生,津波,A,上空に寒気が入ると、地表付近との温度差が大きくなり、大気が不安定になって、雷やにわか雨が起きやすくなります。,,
秋,知識,「秋の長雨」と「梅雨」の違いとして、比較的近い説明は？,秋の長雨は日本海側だけで降る,梅雨は夏前の雨季、秋の長雨は夏の終わりから秋にかけての長雨,秋の長雨は必ず雪になる,梅雨は1日だけ降る,B,どちらも前線による長雨ですが、時期が異なり、秋の長雨は台風も絡みやすいのが特徴です。,,
秋,知識,気象庁の「高温」「低温」に関する情報が秋にも出されるのはなぜでしょう？,秋には情報を出してはいけない決まりがあるから,秋は気温の平年値が低くなる中で、暑さ・寒さの影響が生活に出るから,秋は気温が完全に一定だから,台風がなくなるから,B,秋は季節の進みが早く、平年よりかなり高い・低いときには農作物や健康への影響を伝えるために情報が出されます。,,
秋,生活,天気予報で「きょうは北風が入って、秋らしい空気に変わります」と言うとき、どのような体感になることが多いでしょう？,じめじめ暑く感じる,からっとした涼しさを感じる,真夏のように蒸し暑くなる,雪が積もる,B,北よりの風は日本では涼しい空気を運び、からっとした秋らしいさわやかさをもたらします。,,
秋,知識,秋の日本付近でよく見られる「西高東低」とは、どんな気圧配置でしょう？,西が低気圧、東が高気圧,西が高気圧、東が低気圧,全体が高気圧,全体が低気圧,B,西に高気圧、東に低気圧がある状態で、冬の典型的な気圧配置ですが、秋の終わりにも現れ始めます。,,
秋,知識,秋になると「日の入り時刻」がどう変化していくでしょうか？,どんどん遅くなる,一年中変わらない,どんどん早くなる,秋だけ逆に昼が長くなる,C,秋が深まるにつれて日が暮れる時刻が早くなり、夕方が急に暗く感じるようになります。,,
秋,生活,秋の朝に車のフロントガラスが曇ったり、露で濡れる現象の主な原因は？,放射冷却でガラスが冷え、水蒸気が水滴になる,ガラスの中から水が湧く,雨が降ったから,台風の風のせい,A,冷えたガラスや物体の表面に、空気中の水蒸気が凝結して水滴となる現象です。,,
秋,防災,秋に山へ登るときに、特に注意したい天気要素はどれでしょう？,海水温,紫外線だけ,気温差と風、急な天気の変化,都市の気温,C,秋は山頂とふもとの気温差が大きくなり、風も強まりやすく、急な天候悪化もあるため要注意です。,,
秋,知識,気象庁の「天気概況」で秋によく見られる表現として、最もイメージに近いのは？,「寒気の影響で冬型の気圧配置が強まり、大雪」,「移動性高気圧に覆われて晴れるが、気圧の谷の影響でにわか雨の所も」,「太平洋高気圧の勢力が非常に強く、猛暑日が続く」,「梅雨前線が停滞して大雨」,B,秋は移動性高気圧と低気圧・気圧の谷が交互にやってきて、晴れと雨を繰り返しやすい季節です。,,
秋,防災,秋の台風情報で「勢力が弱まって温帯低気圧に変わりました」と発表された場合、注意すべき点として正しいのは？,もうまったく安心で、風雨は一切ない,台風ではないが、雨や風が続くこともある,雪が降るようになる,すぐに消滅する,B,温帯低気圧に変わっても、強い風や大雨が残ることがあり、油断は禁物です。,,
秋,知識,秋の夜に「星がよく見える日」で、翌朝の気温はどうなりやすいでしょう？,あまり冷え込まない,かえって暑くなる,放射冷却で冷え込みやすい,雷が鳴る,C,雲が少なく星がよく見える夜は、地表の熱が宇宙に逃げ、冷え込みやすくなります。,,
秋,知識,秋の天気予報で「上空○○m付近に－○℃の寒気」という表現があります。この情報が役立つのは何を知るためでしょうか？,地震の発生確率,花粉の飛散量,大気の安定・不安定さの目安,海の透明度,C,上空の気温が低いと、地表との温度差が大きくなり大気が不安定になり、雷雨などの目安になります。,,
秋,生活,秋になると「洗濯日和」が増える理由として、正しいのは？,湿度が低く、からっと晴れる日が増えるから,一日中雨が続くから,風が全く吹かないから,太陽が出ないから,A,秋は移動性高気圧に覆われた日が多く、湿度も低いため洗濯物がよく乾きます。,,
秋,文化,秋の気圧配置の特徴として、「一雨ごとに…」と言われるのはどんな変化でしょう？,一雨ごとに夏に戻る,一雨ごとに涼しく（寒く）なる,一雨ごとに台風が増える,一雨ごとに日が長くなる,B,秋は一つの低気圧や前線が通過するたびに季節が進み、涼しくなっていくと言われます。,,
秋,文化,「秋の空は高い」と言われる主な理由として近いのは？,雲が全くできないから,夏より上空の湿気が少なく、雲が薄く見えるから,地球が小さくなるから,太陽が低くなるから,B,湿度が下がり、巻雲や巻積雲などの高い雲が目立つことで、空が高く感じられます。,,
秋,生活,秋に農作物の収穫が多い「実りの秋」となりますが、天候不順だと特に影響を受けやすいのは？,ネットの通信速度,農作物の生育・品質,電車の速度,太陽の色,B,長雨や台風の多い年は、稲や果物などの生育や収穫に大きな影響が出ることがあります。,,
秋,生活,気象庁の「旬予報」（10日間単位）や「1か月予報」が秋にも役立つ場面として適切なのは？,今日の服装だけを決めるとき,来年の天気を知りたいとき,秋の旅行やイベントの日程決め・服装傾向を考えるとき,地震の発生日を当てたいとき,C,1か月予報などは、具体的な日ではなく「暑い傾向」「雨が多い傾向」などを知るのに役立ちます。,,
秋,防災,秋に「山の天気」は平地よりも変わりやすいと言われます。その主な理由の一つは？,山では前線ができないから,山の上空は風や気温の変化が大きいから,山は海に近いから,山には雲ができないから,B,山は高度が高く、気温や風向・風速が変わりやすく、雲も発生しやすいため天気の変化が大きくなります。,,
秋,防災,秋の台風接近時、「高潮」による被害が心配されるのはどんなときでしょう？,気圧が高いとき,満潮の時刻と台風接近が重なるとき,乾燥しているとき,雪が降るとき,B,台風による海面の上昇と満潮が重なると、潮位がさらに高くなり、沿岸で浸水被害が出やすくなります。,,
秋,防災,秋の終わりに「初霜」「初氷」が観測されることがありますが、特に影響しやすい分野は？,水道や農作物,インターネット回線,携帯電話の電波,地震計,A,冷え込みで水道管の凍結や農作物の霜害が起きることがあり、注意が必要です。,,
秋,生活,秋になると「防寒グッズの準備を」と天気予報で呼びかけられることがあります。これはどんな情報を踏まえたコメントでしょう？,来年の天気,長期予報や一時的な寒気の南下,地震の予測,海水浴情報,B,1か月予報や寒気の予想などから、急に季節が進むタイミングを伝えています。,,
秋,知識,秋は「台風の進路予報」において、どの点が特に難しいとされることがありますか？,全く変化しないから簡単,偏西風に乗って進路が大きく曲がるため,北極の氷の量,地震の発生状況,B,秋は台風が偏西風に乗って進路を急に変えたり、加速したりするため、進路の予測が難しくなることがあります。,,
秋,生活,秋の夜長に星を観察するとき、天気予報で特にチェックしておきたい要素は？,風速と気圧だけ,雲量・雲の高さ,海水温,地震情報,B,雲が少ないほど星がよく見えるので、雲量や上空の雲の有無を確認すると良いです。,,
秋,生活,秋の天気予報で「湿度40％前後でカラッとした陽気」と言われたときの体感に近いのは？,ベタベタとした蒸し暑さ,じっとしていても汗が止まらない,さわやかで汗が引きやすい,吐く息が白くなるほどの寒さ,C,湿度が低いと汗が蒸発しやすく、さわやかに感じます。,,
秋,防災,秋に「雷注意報」が出ることがありますが、大気の状態がどのようなときに雷が起きやすいでしょう？,大気の状態が安定しているとき,大気の状態が不安定なとき,全く雲がないとき,海が凍っているとき,B,上空に寒気が入るなどして、大気が不安定になると雷雲が発達しやすくなります。,,
秋,知識,秋に「熱帯夜」が少なくなる理由として正しいのは？,太陽の高さが低くなり、昼間の気温があまり上がらなくなるから,太陽が近づくから,海水温が一気に上がるから,雨が降らなくなるから,A,日照時間が短くなり、太陽高度も低くなるため、夏ほど夜間の気温が下がりにくい状況が減ってきます。,,
秋,知識,秋に発表される「初冠雪」は、どのような現象を指す観測でしょうか？,初めて雹が降った日,山頂が初めて雪で白く見えた日,平地で初めて霜が降りた日,雨が初めて降った日,B,特定の山（例：富士山など）で山頂が初めて雪で白くなって見えた日を「初冠雪」として発表します。,,
秋,生活,気象庁の「週間天気予報」で、秋の行楽の予定を立てるときに、まずチェックしたい項目の組み合わせとして適切なのは？,最高気温・最低気温・降水確率,地震回数・津波高,海水浴情報・花粉情報,火山噴火警戒レベルだけ,A,秋は気温差と雨がポイントなので、最高・最低気温と降水確率をセットで見ると予定が立てやすくなります。,,
秋,知識,気象庁の天気予報で表示される「降水確率20％」はどんな意味でしょう？,20分だけ雨が降る,20mmの雨が降る,予報対象時間帯のどこかで、雨が降る可能性が20％,20人に1人だけ雨に当たる,C,降水確率は「その時間帯のどこかで1mm以上の雨が降る可能性」を％で示しています。,,
秋,知識,気象庁の天気予報地図で、秋に多い「晴れ一時雨」マークは、どのような天気傾向を表しているでしょう？,雨だけ,一日中快晴,晴れが主体だが、にわか雨の時間帯がある,雷だけ鳴る,C,基本は晴れですが、短時間の雨がありそうな場合に使われます。,,
秋,知識,気象庁の予想気温にある「平年差」の＋2℃などは、何と比べている数値でしょう？,世界の平均気温,昨日の気温,その地点の過去30年平均の気温,海水温,C,「平年」とは過去30年平均のことで、それより何度高い・低いかを示します。,,
秋,生活,気象庁の「1か月予報」で『気温は平年並みか高い』と出たとき、秋の服装計画でのイメージとして近いのは？,真冬並みに寒くなる,平年通り〜少し暖かめの日が多い,冷夏になる,1か月ずっと猛暑日,B,平年と同じくらいか、やや高めの日が多い傾向を示しています。,,
秋,生活,気象庁ホームページの「雨雲の動き（高解像度降水ナウキャスト）」は、秋のどんなシーンに役立つでしょう？,紅葉狩り中の短時間の雨のタイミング確認,来年の紅葉時期の予想,春の花粉量の予想,地震発生確率の予想,A,1〜数時間先までの雨雲の動きを確認できるので、外出中の雨のかかわしに便利です。,,
秋,防災,「雨雲の動き」図で、色が濃い（赤やピンクに近い）部分は、何を意味しているでしょう？,雲がない,弱い雨,強い雨・非常に激しい雨,雪だけ,C,色が濃くなるほど、降っている雨の強さが強いことを表しています。,,
秋,知識,気象庁の「アメダス（地域気象観測システム）」で確認できる代表的なデータとして正しいのは？,地震のマグニチュード,気温・降水量・風向・風速など,携帯電話の圏外率,電車の運行状況,B,アメダスでは全国各地の実際の観測値をリアルタイムで見ることができます。,,
秋,生活,秋の朝、アメダスの気温データを見るとき、冷え込みの程度を知るポイントとして適切なのは？,昼の気温だけ見る,前日同時刻との気温差,海水温との差,風速だけを見る,B,「きのうの同じ時間と比べて何度違うか」を見ると、体感の変化をイメージしやすくなります。,,
秋,知識,気象庁の「秋の気温偏差図」を見るとき、日本地図で赤色が多い場合は何を意味しますか？,平年より気温が高い場所が多い,平年より気温が低い場所が多い,雨が多い,風が強い,A,赤は平年より高い、青は平年より低い傾向を示すことが多いです。,,
秋,防災,気象庁が出す「注意報」と「警報」の違いとして、より近い説明は？,注意報は良い天気、警報は悪い天気,注意報は災害が起こりうる、警報は重大な災害の危険が高まった状態,注意報は気温だけ、警報は風だけ,注意報の方が危険度が高い,B,警報の方が危険度が高く、より厳重な警戒を呼びかける情報です。,,
秋,防災,秋の大雨のときに特に確認したい気象庁の情報として、より適切なのは？,花粉情報,大雨警報・土砂災害警戒情報,黄砂情報,紫外線情報,B,秋雨前線や台風による大雨では、土砂災害警戒情報など防災情報の確認が重要です。,,
秋,防災,気象庁の台風情報の「実況」欄で確認できる主な項目として正しいのは？,台風の中心位置・中心気圧・最大風速など,世界の平均気温,地震の震度分布,花粉の量,A,現在の台風の強さや位置、動きがわかります。,,
秋,防災,台風シーズンの秋、気象庁の「台風進路図」を見るとき、特に注意したい点は？,予報円の大きさと進む向き,台風の名前のかっこよさ,予報士の人数,海の透明度,A,予報円がかかる範囲に自分の地域が入るか、いつ頃近づきそうかを確認します。,,
