作成テーマ,カテゴリ,問題,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説,対象級,義雄さんメモ
春,防災,急な大雨で道路が冠水した際、歩行者が取るべき行動として危険なのはどれですか。,マンホールや側溝に近づかない,地下街や地下室から出る,冠水した道路を歩いて避難する,高い建物に避難する,C,足元が見えず、蓋の外れたマンホールなどに転落する恐れがあり危険です。,,
春,防災,「竜巻注意情報」が発表された時、空に見られる前兆現象として正しいものはどれですか。,空が真っ暗になる,空気が乾燥する,暖かい風が吹き出す,気温が上がる,A,発達した積乱雲が近づくサインはすべて竜巻の前兆となり得ます。,,
春,防災,5月頃、発達した低気圧によって台風並みの暴風雨となる現象を何といいますか？,トロピカルストーム,台風1号,サイクロン,メイストーム,D,春は低気圧が急速に発達して、「メイストーム」と呼ばれる台風並みの強風・暴風や猛吹雪が発生しやすい季節でもあります。,,
春,防災,雪解けの時期、川の近くで遊ぶ際に注意すべきことは何ですか。,魚がいないこと,水量が増えていること,水の温度が高いこと,蚊が多いこと,B,融雪水は非常に冷たく、流れも速くなっているため、落ちると命に関わります。,,
春,防災,春の紫外線について、健康被害防止の観点から正しい認識はどれですか。,夏まで対策は不要,5月には真夏並みの強さになることがある,曇りの日はゼロになる,帽子をかぶれば100%防げる,B,4〜5月にかけて紫外線量は急増します。早めの対策が必要です。,,
春,防災,「濃霧注意報」が出ている時、車の運転で気をつけるべきことは何ですか。,スピードを出して早く通り抜ける,ヘッドライト（ロービーム）やフォグランプを点灯し、速度を落とす,前の車にぴったりくっつく,ハイビームにし続ける,B,自分の存在を知らせ、視界を確保するためにライトを点灯し、減速します。ハイビームは乱反射して見えにくくなることがあります。,,
春,防災,春の「なだれ注意報」が出ている時、スキー場以外で注意すべき場所はどこですか。,海岸,平野の真ん中,山間部の道路や急斜面の下,ビルの屋上,C,道路へのなだれ込みによる通行止めや事故に注意が必要です。,,
春,防災,屋外で雷鳴が聞こえ始めた時、鉄筋コンクリートの建物がない場合、比較的安全な避難場所はどこですか。,テントの中,ゴルフ場,自動車の中,大きな木の下,C,車の中は、雷が落ちても電気がボディを通って地面に逃げるため、比較的安全です（金属部分には触れない）。,,
春,防災,警報級の「大雨」が予想される際、気象庁が数日前から発表する情報はどれですか。,早期注意情報（警報級の可能性）,顕著な大雨に関する気象情報,大雨注意報,大雨事前情報,A,災害への心構えを高めるため、可能性を「高」「中」などで発表します。,,
春,防災,春の移動性高気圧に覆われた夜、放射冷却で気温が下がり、路面が凍結する恐れがあります。特に凍りやすい場所はどこですか。,トンネルの中,橋の上,日当たりの良い直線道路,砂利道,B,橋の上は地面の熱が伝わらず、風通しが良いため、他の場所より早く凍結します。,,
春,防災,大雨や洪水に関して、市町村から発令される避難情報。「警戒レベル4」は何を意味しますか。,避難の準備をする,避難所へ行くかどうか考える,全員避難（危険な場所から避難する）,災害が発生したことを確認する,C,レベル4は「避難指示」です。対象地域の方は全員、速やかに危険な場所から避難する必要があります。,,
春,防災,春の強風時、屋外を歩く際に最も注意すべき落下物はどれですか。,帽子,看板,雷,花粉,B,春一番などの強風時は、看板、瓦、ベランダの植木鉢などが飛んでくる危険があります。,,
春,防災,「注意報」と「警報」、より災害の危険度が高く、重大な災害が起こる恐れがあるのはどちらですか。,注意報,警報,どちらも同じ,季節による,B,「警報」は重大な災害が起こる恐れがある場合に発表されます。さらに上が「特別警報」です。,,
春,防災,春に山菜採りなどで山に入る際、気象遭難を防ぐために必ず持参すべきものはどれですか。,天気図,防寒着,調理器具,温度計,B,山の天気は変わりやすく、春でも急に冷え込むため、雨具と防寒着は必須です。,,
春,防災,川の水位が上昇し、堤防を越えて水があふれ出すことを何といいますか。,氾濫,満潮,湧き水,干潮,A,川の水があふれることを氾濫（洪水）といいます。,,
春,防災,春の乾燥した時期、注意する災害はどれですか。,土石流,林野火災（山火事）,高潮,液状化,B,春は枯れ草が多く空気も乾燥しているため、小さな火種が大火災につながります。,,
春,防災,地震が起きた後、雨が降ると発生しやすくなる二次災害はどれですか。,津波,火災,土砂災害,噴火,C,地震で地盤が緩んでいるところに雨が降ると、少ない雨量でも土砂崩れが起きやすくなります。,,
春,防災,「特別警報」が発表された時、とるべき行動はどれですか。,必ず避難所に行く,命を守るための最善の行動をとる,気を付けて会社や学校へ行く,被害状況を見に行く,B,すでに災害が発生している可能性が高い非常事態です。直ちに命を守る行動が必要です。,,
春,防災,集中豪雨などで、道路のマンホールから水が噴き出しているのを見かけました。どうすべきですか。,近づいて中をのぞく,警察連絡用に写真を撮るために近づく,水を止めるために蓋をする,近づかず、迂回する,D,蓋が外れている可能性があり、吸い込まれる危険があるため、絶対に近づいてはいけません。,,
春,防災,避難所へ移動する際、どれが安全とされていますか。,長靴,運動靴,革靴,サンダル,B,長靴は水が入ると重くなって歩けなくなります。底が厚く、脱げにくい運動靴が推奨されます。,,
春,生活,春は「日較差（にちかくさ）」が大きい季節です。これはどういう意味ですか。,日本と海外の時差が大きい,1日の中での、最高気温と最低気温の差が大きい,晴れの日と雨の日の気温差が大きい,去年と今年の気温差が大きい,B,朝は冬のように寒く、昼はポカポカ陽気になるなど、1日の寒暖差が激しいことです。,,
春,生活,上記のような春の気温差に対応するための服装として、適しているのはどれですか。,厚手のダウンジャケットを着る,半袖で過ごす,重ね着で脱ぎ着しやすい服装にする,カッパを持ち歩く,C,カーディガンやパーカーなど、こまめに調整できる服装が体調管理に有効です。,,
春,生活,花粉症の人が、洗濯物を外に干すのに最も「適さない」日はどんな日ですか。,風の強い雨の日,風が強い晴れた日,風のない曇りの日,夜,B,晴れて風が強い日は、花粉が大量に飛散し、洗濯物に付着しやすくなります。,,
春,生活,春の紫外線対策として、日焼け止め以外に有効なグッズはどれですか。,マフラー,手袋,日傘,長靴,C,帽子や日傘で物理的に直射日光を遮ることが有効です。,,
春,生活,5月の連休中、車で遠出をする際、注意が必要な車内の環境変化はどれですか。,車内が氷点下になって、凍傷になる,車内の温度が急上昇し、熱中症になる,車内の空気が乾燥する,車内の酸素がなくなる,B,5月の外気温が25度程度でも、締め切った車内は短時間で50度近くになることがあり危険です。,,
春,生活,「気象病（天気痛）」と呼ばれる、天気が崩れる前に頭痛などが起きる症状。主な原因とされる気象要素はどれですか。,気圧の変化,雨の音,風の音,月の満ち欠け,A,低気圧の接近などによる気圧の低下が、内耳（耳の奥）に影響し不調をきたすと言われています。,,
春,生活,春の服装選びで気をつけたい、1日の中での「気温差」が大きいことを表す気象用語はどれですか？,フェーン現象,エルニーニョ現象,高温注意報,日較差,D,1日の中での、最高気温と最低気温の差が大きいことです。,,
春,生活,春先に静電気が起きやすいのは、空気がどうなっているからですか。,湿っているから,乾燥しているから,汚れているから,温かいから,B,湿度が低い（乾燥している）と静電気が自然放電されず、体にたまりやすくなります。,,
春,生活,春、黄砂が飛んできた後に雨が降りました。車のお手入れとして正しいのはどれですか。,そのまま放置する,天日干しする,早めに水で洗い流す,ワックスを上塗りする,C,黄砂を含んだ雨を放置するとシミになります。また、いきなりこすると砂で傷がつくため、まず水で流します。,,
春,生活,春の洗濯時に注意が必要なのはどれですか。,黄砂,乾燥,日差し,霜,A,黄砂の他に花粉や強風にも注意が必要です。,,
春,生活,春に黄砂が飛来すると、どのような影響が出ることがありますか。,航空機の遅れ,線路の凍結,車の渋滞,信号機の故障,A,濃度が高いと視程（見通し）が悪くなり、飛行機の離着陸に影響します。,,
春,生活,春のハイキング、お弁当が腐らないように気をつけることとして、正しいのはどれですか。,直射日光の当たる暖かい場所に置く,保冷剤を使用し、涼しい場所に保管する,車のダッシュボードに置く,温かいスープと一緒に密閉する,B,春の日中は気温が上がり、細菌が繁殖しやすくなるため、保冷対策が必要です。,,
春,生活,ガーデニングで、春先に「寒の戻り」の予報が出た際、苗を守るためにすることは何ですか。,水を大量にやる,肥料を大量にやる,室内に入れるか、覆い（カバー）をする,扇風機を当てる,C,遅霜や低温で苗が枯れないよう、保温対策を行います。,,
春,生活,"本来は「梅雨の合間の晴れ間」を指す言葉でしたが、現在では「5月のすがすがしい晴天」という意味でも使われる言葉はどれですか？",五月晴れ,小春日和,日本晴れ,初夏晴れ,A,本来は旧暦の５月（さつき）からきたことばで、梅雨の合間の晴れのことを指していた。,,
春,生活,春の強い南風が吹く日、自転車に乗る際に気をつけることは何ですか。,追い風だとスピードが出すぎる,横風で転倒する恐れがある,向かい風で進みにくい,1〜3すべて,D,風の影響を直接受ける自転車は、転倒や事故のリスクが高まります。,,
春,生活,ゴールデンウィークに潮干狩りに行く計画を立てています。天気以外に確認すべき重要な情報はどれですか。,干潮（潮が引く）の時刻,日の出の時刻,日没の時刻,1〜3すべて,A,潮が引いている時間帯でないと、貝を採ることができません。,,
春,生活,春先、室内で暖房を使わなくなっても、窓に「結露」ができることがあります。対策として有効なのは？,加湿器を最大にする,換気をして湿気を逃がす,窓を閉め切る,鍋料理をする,B,外気との温度差がある場合、室内の湿気が窓で冷やされて結露します。換気が有効です。,,
春,生活,春を告げる鳥「ウグイス」。春になって初めて聞くその鳴き声を何と呼びますか？,初鳴き,初耳,初声,初音,D,その季節に初めて聞こえる鳥や虫の声を指しますが、特にウグイスの声を指すことが多いです。,,
春,生活,桜の花びらが風に舞い散る様子を、何といいますか？,桜風,花筏,桜雨,桜吹雪,D,満開を過ぎた桜が風で一斉に散る様子です。,,
春,生活,「春一番」が吹いた後、気をつけるべき変化はどれですか。,気温が急に下がる,気温が上がり続ける,雨が1週間続く,台風が発生する,A,低気圧通過後は西高東低の気圧配置に戻り、寒気が入ってきます。,,
春,文化,ことわざ「春眠〇〇を覚えず」。春は心地よくて朝寝坊してしまうという意味です。〇〇に入るのは？,夢,暁（あかつき）,夜,昼,B,「春眠暁を覚えず」は漢詩の一部で、春の夜明けに気づかないほど熟睡してしまうことです。,,
春,文化,ことわざ「三寒四温」。本来は冬の言葉ですが、日本では春先によく使われます。どういう意味ですか。,3回水風呂に入って、4回温泉に入る,3日寒い日が続くと、4日暖かい日が続く,3度寒くなると4度下がる,3月から4月は温度が変わらない,B,寒暖を繰り返しながら春に向かう様子を表します。,,
春,文化,サクラの花が咲く頃に降る雨を、ある液体に例えて「〇〇の雨」と言うことがあります。〇〇に入る言葉は？,天使,催花,涙,泥,B,「催花雨（さいかう）」と言います。花の開花を促す雨という意味です。,,
春,文化,春の野原で見かける「つくし」。漢字で書くとどれですか。,土筆,春筆,竹子,春草,A,土からニョキッと筆のように出ていることから「土筆」と書きます。,,
春,文化,春の七草ではありませんが、春の和菓子（草餅）に使われる、香りのよい植物はどれですか。,ヨモギ,バジル,パセリ,シソ,A,春に新芽が出るヨモギを使います。,,
春,文化,「啓蟄」の頃、冬眠から目覚めるとされる生き物の代表は？,クマ,カエル,ヘビ,1〜3すべて,E,啓蟄は「虫や生き物が土から出てくる」という意味です。カエルが鳴き始めるのもこの頃です。,,
春,文化,春の夜空、北の高い空に見えるひしゃく型の星の並びを何といいますか。,オリオン座,北斗七星,カシオペア座,夏の大三角,B,おおぐま座の一部である北斗七星は、春の夜空で見つけやすい星の並びです。,,
春,文化,春に行われる、お釈迦様の誕生日を祝う「花まつり」はいつですか。,3月3日,4月8日,5月5日,7月7日,B,4月8日です。甘茶をかけてお祝いします。,,
春,文化,「目に青葉 山ホトトギス 〇〇〇〇」。初夏の訪れを詠んだ有名な俳句、〇〇〇〇に入る食べ物は？,初ガツオ,初マグロ,初サンマ,初ミカン,A,江戸時代の俳人・山口素堂の句。「初鰹」は春〜初夏の美味しい食材です。,,
春,文化,春の季語でもある「朧月（おぼろづき）」。どのような月のことですか。,くっきりと明るい満月,ぼんやりと霞んで見える月,赤い月,半月,B,春の夜の湿潤な空気によって、柔らかくほのかに見える月のことです。,,
春,文化,5月5日の「端午の節句」に入るお風呂は、何を入れたお風呂ですか。,ゆず湯,しょうぶ湯,ミカン湯,バラ風呂,B,尚武（しょうぶ）に通じるとして、菖蒲湯（しょうぶゆ）に入り無病息災を願います。冬至はゆず湯です。,,
春,文化,「風薫る」という言葉。どの季節に使われますか。,初春（2月）,初夏（5月）,真夏（8月）,晩秋（11月）,B,新緑の上を吹き渡ってくる爽やかな風を表す、5月の言葉です。,,
春,文化,春に旬を迎える果物で、かつては初夏の果物でしたが、現在はハウス栽培などで冬〜春の定番となっている赤い果物は？,リンゴ,ミカン,イチゴ,スイカ,C,本来の旬（露地栽培）は春から初夏ですが、現在は1月〜4月頃に多く出回ります。,,
春,文化,春の野草で、葉っぱをちぎると白い乳液が出るものは？（茎を笛にして遊ぶこともあります）,チューリップ,タンポポ,アサガオ,ヒマワリ,B,タンポポの茎や葉を折ると白い液が出ます。草笛遊びも有名です。,,
春,文化,小春日和は暖かく穏やかな晴天のことです。いつ頃のこと言いますか。,晩冬から初春,晩春から初夏,晩夏から初秋,晩秋から初冬,D,小春日和は晩秋から初冬にかけての暖かく穏やかな晴天です。,,
春,文化,二十四節気において「春の始まり」とされる日はどれですか。,立春,春分,啓蟄,雨水,A,立春（2月4日頃）が暦上の春のスタートです。,,
春,文化,春先、土の中で冬眠していた虫たちが穴から出てくる頃を指す言葉はどれですか。,立春,雨水,啓蟄,清明,C,3月上旬頃の節気です。,,
春,文化,春の夕暮れ時、日が暮れても薄明るい時間が長く続く様子を何といいますか。,春の日はつるべ落とし,春の日永（ひなが）,白夜,春の夜,B,春分を過ぎると昼が長くなり、夕方もなかなか暗くならない様子を指します。,,
春,文化,唱歌『春の小川』に出てくる生き物はどれですか。「エビや〇〇〇やコブナの群れに…」,メダカ,金魚,クジラ,マグロ,A,春の小川で遊ぶメダカなどの様子が歌われています。,,
春,文化,「八十八夜」とは、いつから数えて88日目のことですか。,正月（1月1日）,立春（2月4日頃）,春分（3月20日頃）,桜が咲いた日,B,春の始まりである立春から数えます。5月初旬にあたります。,,
天文,知識,太陽の表面の温度はおよそ何度？　,１０００℃,３０００℃,４０００℃,６０００℃,D,５８００ケルビンとも言われます。,,
天文,知識,太陽からの光はどのくらいの時間で地球まで届く？,１秒,５秒,１分,８分,D,距離は１億５千万キロ、光は秒速３０万キロです。,,
天文,知識,太陽は何で出来ているの？,水素とヘリウム,酸素と二酸化炭素,炭素と水蒸気,水素と窒素,A,核融合反応を起こして燃えています。,,
天文,知識,次の太陽系の惑星で一番暑いのはどれ？,水星,金星,木星,地球,B,７００℃以上あります。,,
天文,知識,運動会での「大玉転がし」（直径１．４ｍ）を太陽の大きさとすると、地球はどのくらいの大きさ？,サッカーのボール,野球のボール,ビー玉,米粒,C,太陽直径は１４０万キロ、地球は１２８００キロです。,,
天文,知識,地球大気の主成分として、体積で最も多いのはどれか？,酸素,アルゴン,窒素,二酸化炭素,C,酸素よりも多く、７８％あります。,,
天文,知識,気象衛星「ひまわり」は、どの軌道の種類の衛星か？,極軌道衛星,静止衛星,太陽同期軌道衛星,低軌道衛星,B,２４時間で地球を一周する軌道なので、地上からは止まっているように見えます。,,
天文,知識,太陽系で最も多くの衛星を持つ惑星はどれか？,金星,火星,木星,土星,D,２７０個以上あると言われています。,,
天文,知識,赤道を一周すると、フルマラソンの約何倍の距離？,５０倍,１００倍,１０００倍,５０００倍,C,赤道一周は約４００００キロあります。,,
天文,知識,地球上の運動物体が曲がる見かけ上の力を何というか？,向心力,遠心力,気圧傾度力,コリオリ力,D,北半球では運動方向の直角右側、南半球では直角左側に働きます。,,
天文,知識,大気圧が約 1 hPaになる高さ（高度）は、おおよそ何 kmか？,10km,20km,50km,100km,C,地上で１０００ｈＰａ、２５ｋｍで２５ｈＰａです。,,
天文,知識,彗星の尾が、太陽の反対方向に伸びるのは、何の影響によるものか？,太陽風と放射圧,彗星の公転,地球の引力,彗星の自転,A,太陽光線やプラズマ流の影響で反対側に尾が伸びます。,,
天文,知識,太陽黒点の数は、平均して約何年周期で増減を繰り返しているか？,５年,７年,１１年,１５年,C,観測の結果、１１年周期であることがわかっています。,,
天文,知識,地球の自転軸が公転面に対して傾いていることで生じる最大の現象はどれか？,潮の干満,昼夜の交代,月の満ち欠け,季節の変化,D,太陽光線の角度が変化し、季節が変わります。,,
天文,知識,「赤い惑星」という別名で呼ばれる太陽系の惑星は何でしょう？,火星,金星,木星,天王星,A,赤く輝くのが観測できます。,,
天文,知識,太陽系で、地球の一つ内側（太陽に近い側）を回っている惑星は何でしょう？,木星,金星,火星,水星,B,内側から水星、金星、地球の順です。,,
天文,知識,太陽系で、地球の一つ外側（太陽から遠い側）を回っている惑星は何でしょう？,土星,火星,木星,水星,B,地球の外側は火星、木星、土星の順です。,,
天文,知識,夜空の星が、まるで地球の周りを回っているように見えるのは、地球のどんな動きが原因？,月の自転,月の公転,地球の自転,地球の公転,C,地球が２４時間で一回りするので、星が動いているように見えます。,,
天文,知識,太陽系の惑星の中で、地球の大きさに最も近い惑星は何でしょう？,水星,火星,土星,金星,D,地球の半径が６４００キロ、金星が６０００キロくらいです。,,
天文,知識,流星群で見られる、夜空を横切る光の筋（すじ）は何が地球の大気で燃えているものでしょう？,小さな惑星,恒星の破片,小さなチリ,月の岩石,C,小さなチリが大気との摩擦で燃えています。,,
天文,知識,太陽の表面に見られる、周りよりも温度が低く黒っぽく見える部分を何と呼ぶでしょう？,フレア,プロミネンス,黒点,コロナ,C,周辺が温度が高いので、相対的に温度が低いことになり黒く見えます。,,
天文,知識,太陽系で、地球以外に火山があることが知られている惑星は何でしょう？,火星,木星,天王星,海王星,A,オリンポス火山をはじめ、多くの火山があります。,,
天文,知識,海は地球の表面のおよそ何割を占めているでしょうか？,４割,５割,６割,７割,D,地球全体の表面積が５億１千万平方キロ、そのうち海が３億６千万平方キロです。,,
天文,知識,月の表面にたくさんある、丸いくぼみは何でしょう？,山,海,湖,クレーター,D,隕石などが月面に衝突してできたくぼみです。,,
天文,知識,太陽系で、表面に大量の二酸化炭素があり、温室効果で非常に高温になっている惑星は何でしょう？,火星,水星,金星,地球,C,大量の二酸化炭素のせいで、７００℃以上あります。,,
天文,知識,地上付近で大気１立方メートルの質量は何ｋｇぐらいでしょう？,１，２ｋｇ,２，５ｋｇ,３，５ｋｇ,４，３ｋｇ,Ａ,気温で多少変化しますが、地上付近では１，１ｋｇから１，３ｋｇの間です。,,